,date,total_previous_ips,total_current_ips,total_growth_percentage,same_ips,new_ips,portion_new_ips
0,2022-01-03,305,320,4.92,300,20,6.25
1,2022-01-04,320,323,0.94,314,9,2.79
2,2022-01-05,323,315,-2.48,308,7,2.22
3,2022-01-06,315,312,-0.95,302,10,3.21
4,2022-01-07,312,313,0.32,306,7,2.24
5,2022-01-08,313,300,-4.15,296,4,1.33
6,2022-01-09,300,297,-1.0,290,7,2.36
7,2022-01-10,297,313,5.39,294,19,6.07
