"id","as_name","as_number","country","date","ip_address"
"614_2022-01-03_6503_187.162.59.232","""Axtel, S.A.B. de C.V.""","6503","MX","2022-01-03","187.162.59.232"
"2773_2022-01-10_22724_190.110.222.109","PUNTONET S.A.","22724","EC","2022-01-10","190.110.222.109"
"2823_2022-01-10_5769_23.233.146.92","VIDEOTRON","5769","CA","2022-01-10","23.233.146.92"
"1344_2022-01-06_14061_178.128.197.110","DIGITALOCEAN-ASN","14061","DE","2022-01-06","178.128.197.110"
"370_2022-01-03_11427_24.162.214.166","TWC-11427-TEXAS","11427","US","2022-01-03","24.162.214.166"
"403_2022-01-03_51167_213.136.86.165","CONTABO","51167","DE","2022-01-03","213.136.86.165"
"1603_2022-01-06_35913_103.124.107.109","DEDIPATH-LLC","35913","US","2022-01-06","103.124.107.109"
"1066_2022-01-05_60771_194.190.18.122","COMITEN-AS","60771","RU","2022-01-05","194.190.18.122"
"459_2022-01-03_14061_198.199.98.78","DIGITALOCEAN-ASN","14061","US","2022-01-03","198.199.98.78"
"124_2022-12-23_12479_90.162.45.154","UNI2-AS","12479","ES","2022-12-23","90.162.45.154"
"2003_2022-01-08_45298_103.253.107.156","""INTERLINK-TECH-AS-ID INTERLINK TECHNOLOGY, PT""","45298","ID","2022-01-08","103.253.107.156"
"1309_2022-01-06_16527_216.177.161.118","GVTCINTERNET","16527","US","2022-01-06","216.177.161.118"
"1446_2022-01-06_11888_201.172.31.95","""Television Internacional, S.A. de C.V.""","11888","MX","2022-01-06","201.172.31.95"
"2267_2022-01-09_7684_153.126.165.175","SAKURA-A SAKURA Internet Inc.","7684","JP","2022-01-09","153.126.165.175"
"662_2022-01-04_12772_94.28.78.200","ENFORTA-AS Enforta Autonomous System","12772","RU","2022-01-04","94.28.78.200"
"1139_2022-01-05_52468_190.61.46.106","UFINET PANAMA S.A.","52468","CO","2022-01-05","190.61.46.106"
"2624_2022-01-10_63949_50.116.62.25","""LINODE-AP Linode, LLC""","63949","US","2022-01-10","50.116.62.25"
"422_2022-01-03_31133_31.173.137.39","MF-MGSM-AS PJSC MegaFon","31133","RU","2022-01-03","31.173.137.39"
"1479_2022-01-06_38763_122.129.203.163","CYBERBINTAN-AS-ID PT. Cyber Bintan","38763","ID","2022-01-06","122.129.203.163"
"113_2022-12-25_7018_12.172.173.82","ATT-INTERNET4","7018","US","2022-12-25","12.172.173.82"
"130_2022-12-23_2860_89.152.120.181","NOS_COMUNICACOES","2860","PT","2022-12-23","89.152.120.181"
"181_2022-12-22_6327_184.68.116.146","SHAW","6327","CA","2022-12-22","184.68.116.146"
"145_2022-01-02_209_65.100.174.110","CENTURYLINK-US-LEGACY-QWEST","209","US","2022-01-02","65.100.174.110"
"396_2022-01-03_136883_103.109.247.9","IDNIC-UNUSA-AS-ID Universitas Nahdlatul Ulama Surabaya","136883","ID","2022-01-03","103.109.247.9"
"2257_2022-01-09_61635_131.100.24.199","GOPLEX TELECOMUNICACOES E INTERNET LTDA - ME","61635","BR","2022-01-09","131.100.24.199"
"677_2022-01-04_262210_181.176.174.139","VIETTEL PERU S.A.C.","262210","PE","2022-01-04","181.176.174.139"
"142_2022-12-22_16591_136.35.241.159","GOOGLE-FIBER","16591","US","2022-12-22","136.35.241.159"
"1981_2022-01-08_39819_91.207.28.33","PROHOST","39819","KG","2022-01-08","91.207.28.33"
